stationName,Month,Monthly_Total_Evap
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-04-30,-0.6505601406097412
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-05-31,-0.914086103439331
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-06-30,-1.2043049335479736
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-07-31,-1.6920146942138672
Delhi East PREET VIHAR Gujarat Vihar Pz,2025-08-31,-1.6854088306427002
Delhi East Mayur vihar Kondli DJB WTP,2022-12-31,-0.5415074825286865
Delhi East Mayur vihar Kondli DJB WTP,2023-01-31,-0.5288054347038269
Delhi East Mayur vihar Kondli DJB WTP,2023-02-28,-0.7771056890487671
Delhi East Mayur vihar Kondli DJB WTP,2023-03-31,-1.0382277965545654
Delhi East Mayur vihar Kondli DJB WTP,2023-04-30,-1.1376667022705078
Delhi East Mayur vihar Kondli DJB WTP,2023-05-31,-1.469673991203308
Delhi East Mayur vihar Kondli DJB WTP,2023-06-30,-1.0429006814956665
Delhi East Mayur vihar Kondli DJB WTP,2023-07-31,-1.736478567123413
Delhi East Mayur vihar Kondli DJB WTP,2023-08-31,-2.288940906524658
Delhi East Mayur vihar Kondli DJB WTP,2023-09-30,-1.95954430103302
Delhi East Mayur vihar Kondli DJB WTP,2023-10-31,-1.4019811153411865
Delhi East Mayur vihar Kondli DJB WTP,2023-11-30,-0.49709177017211914
Delhi East Mayur vihar Kondli DJB WTP,2023-12-31,-0.3035348653793335
Delhi East Mayur vihar Kondli DJB WTP,2024-01-31,-0.21138368546962738
Delhi East Mayur vihar Kondli DJB WTP,2024-02-29,-0.6331356763839722
Delhi East Mayur vihar Kondli DJB WTP,2024-03-31,-0.9217956066131592
Delhi East Mayur vihar Kondli DJB WTP,2024-04-30,-0.3827170729637146
Delhi East Mayur vihar Kondli DJB WTP,2024-05-31,-0.34123894572257996
Delhi East Mayur vihar Kondli DJB WTP,2024-06-30,-0.618363082408905
Delhi East Mayur vihar Kondli DJB WTP,2024-07-31,-1.843648910522461
Delhi East Mayur vihar Kondli DJB WTP,2024-08-31,-1.7129812240600586
Delhi East Mayur vihar Kondli DJB WTP,2024-09-30,-1.668421983718872
Delhi East Mayur vihar Kondli DJB WTP,2024-10-31,-1.7182639837265015
Delhi East Mayur vihar Kondli DJB WTP,2024-11-30,-0.7338245511054993
Delhi East Mayur vihar Kondli DJB WTP,2024-12-31,-0.4636710286140442
Delhi East Mayur vihar Kondli DJB WTP,2025-01-31,-0.7139170169830322
Delhi East Mayur vihar Kondli DJB WTP,2025-02-28,-0.7683062553405762
Delhi East Mayur vihar Kondli DJB WTP,2025-03-31,-1.0281250476837158
Delhi East Mayur vihar Kondli DJB WTP,2025-04-30,-0.6505601406097412
Delhi East Mayur vihar Kondli DJB WTP,2025-05-31,-0.914086103439331
Delhi East Mayur vihar Kondli DJB WTP,2025-06-30,-1.2043049335479736
Delhi East Mayur vihar Kondli DJB WTP,2025-07-31,-1.6920146942138672
Delhi East Mayur vihar Kondli DJB WTP,2025-08-31,-1.6854088306427002
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-12-31,-0.5415074825286865
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-01-31,-0.5288054347038269
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-02-28,-0.7771056890487671
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-03-31,-1.0382277965545654
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-04-30,-1.1376667022705078
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-05-31,-1.469673991203308
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-06-30,-1.0429006814956665
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-07-31,-1.736478567123413
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-08-31,-2.288940906524658
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-09-30,-1.95954430103302
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-10-31,-1.4019811153411865
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-11-30,-0.49709177017211914
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-12-31,-0.3035348653793335
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-01-31,-0.21138368546962738
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-02-29,-0.6331356763839722
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-03-31,-0.9217956066131592
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-04-30,-0.3827170729637146
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-05-31,-0.34123894572257996
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-06-30,-0.618363082408905
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-07-31,-1.843648910522461
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-08-31,-1.7129812240600586
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-09-30,-1.668421983718872
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-10-31,-1.7182639837265015
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-11-30,-0.7338245511054993
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2024-12-31,-0.4636710286140442
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-01-31,-0.7139170169830322
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-02-28,-0.7683062553405762
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-03-31,-1.0281250476837158
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-04-30,-0.6505601406097412
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-05-31,-0.914086103439331
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-06-30,-1.2043049335479736
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-07-31,-1.6920146942138672
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2025-08-31,-1.6854088306427002
Delhi North ALIPUR Singhu Village Pz,2022-12-31,-0.48142731189727783
Delhi North ALIPUR Singhu Village Pz,2023-01-31,-0.539293646812439
Delhi North ALIPUR Singhu Village Pz,2023-02-28,-0.7918519973754883
Delhi North ALIPUR Singhu Village Pz,2023-03-31,-0.9656088948249817
Delhi North ALIPUR Singhu Village Pz,2023-04-30,-0.9749506711959839
Delhi North ALIPUR Singhu Village Pz,2023-05-31,-1.1562601327896118
Delhi North ALIPUR Singhu Village Pz,2023-06-30,-0.9557780623435974
Delhi North ALIPUR Singhu Village Pz,2023-07-31,-1.6799662113189697
